id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
48,Irene Aldana,135,1988-03-26,5,9
49,JJ Aldrich,125,1992-09-29,5,5
50,Jose Aldo,135,1986-09-09,5,7
51,Kenneth Alexander,155,1977-09-25,5,9
52,Jim Alers,145,1986-10-14,5,9
53,Houston Alexander,205,1972-03-22,6,0
54,John Alessio,155,1979-07-05,5,10
55,Marcio Alexandre Junior,185,1989-05-05,6,0
56,Olaf Alfonso,170,1974-08-06,6,2
57,Pablo Alfonso,145,1983-05-09,5,8
58,Levi Alford,,,,
59,Bill Algeo,145,1989-06-09,6,0
60,Royce Alger,199,,5,10
61,Amir Aliakbari,250,1984-06-10,6,3
62,Sultan Aliev,170,1984-09-17,5,11
63,John Allan,205,1993-02-22,6,1
64,Arnold Allen,145,1994-01-22,5,8
65,George Allen,205,1967-01-13,6,2
66,Ben Alloway,170,1981-02-19,5,11
67,Brendan Allen,185,1995-12-28,6,2
68,Ricardo Almeida,170,1976-11-29,6,0
69,Magno Almeida,155,1985-06-06,6,0
70,Thomas Almeida,145,1991-07-31,5,7
71,Ericka Almeida,115,1989-03-05,5,6
72,Mauricio Alonso,170,1980-02-27,6,2
73,Estefani Almeida,125,1988-10-17,5,4
74,Sarah Alpar,135,1991-06-01,5,4
75,Rico Altamirano,170,,5,10
76,Ali AlQaisi,135,1990-09-23,5,6
77,Mike Altman,185,,5,10
78,Sean Alvarez,235,1971-07-14,6,0
79,Jaime Alvarez,125,1988-03-08,5,8
80,Joel Alvarez,155,1994-03-02,6,3
81,Eddie Alvarez,155,1984-01-11,5,9
82,Anthony Alves,,,,
83,Amilcar Alves,170,1988-08-08,6,0
84,Thiago Alves,170,1983-10-03,5,9
85,Rafael Alves,145,1990-10-10,5,8
86,Warlley Alves,170,1991-01-04,5,11
87,Andre Amado,154,,6,0
88,Maiara Amanajas dos Santos,115,1987-07-11,5,5
89,Adlan Amagov,170,1986-10-30,6,2
90,Sam Alvey,205,1986-05-06,6,2
91,Jimmy Ambriz,315,1970-01-26,6,2
92,Chris Amarante,185,,,
93,JJ Ambrose,170,,5,10
94,Alen Amedovski,185,1988-04-06,5,10
95,Makwan Amirkhani,145,1988-11-08,5,10
96,Bertrand Amoussou,190,,5,8
97,Eryk Anders,185,1987-04-21,6,1
98,Andy Anderson,240,1974-07-16,5,6
99,Karl Amoussou,185,1985-11-21,5,11
100,Matt Andersen,230,1971-05-29,6,2
101,Lowell Anderson,160,,5,6
102,Derek Anderson,155,1990-02-02,6,0
103,Corey Anderson,205,1989-09-22,6,3
104,Megan Anderson,145,1990-02-11,6,0
105,Viscardi Andrade,170,1984-03-08,5,11
106,Alex Andrade,200,1974-05-14,5,11
107,Jermaine Andre,200,,5,7
108,Jessica Andrade,115,1991-09-25,5,1
109,Reese Andy,205,1973-03-31,6,0
110,Dylan Andrews,185,1979-11-15,6,1
111,Julius Anglickas,205,1991-07-23,6,3
112,Collin Anglin,145,1993-02-20,5,9
113,Magomed Ankalaev,205,1992-06-02,6,3
114,Yoji Anjo,205,1967-03-28,5,11
115,Nina Ansaroff,115,1985-12-03,5,5
116,Angelo Antonio,205,,,
117,Adam Antolin,125,1982-02-28,5,5
118,Gadzhimurad Antigulov,205,1987-02-09,5,11
119,Azunna Anyanwu,251,1981-08-05,6,1
120,Shinsho Anzai,170,1985-12-01,5,7
121,Josh Appelt,255,1983-06-19,5,10
122,Aori Qileng,125,1993-06-25,5,7
123,Kenji Arai,145,1979-10-05,5,10
124,Erik Apple,170,1977-08-26,6,0
125,Romie Aram,170,1977-12-02,5,10
126,Shinya Aoki,154,1983-05-09,5,11
127,Igor Araujo,170,1980-12-06,6,1
128,Felipe Arantes,135,1988-02-09,5,8
129,Julio Arce,145,1989-10-27,5,7
130,Viviane Araujo,125,1986-11-21,5,4
131,Art Arciniega,145,1981-10-15,5,8
132,Tristan Arenal,155,,,
133,Joey Armstrong,,,,
134,Andrei Arlovski,240,1979-02-04,6,3
135,Akbarh Arreola,155,1983-01-14,5,10
136,Ricardo Arona,205,1978-07-17,5,11
137,Chalid Arrab,205,1975-05-28,5,11
138,Austin Arnett,145,1991-10-22,6,0
139,Matt Arroyo,170,1982-09-01,5,10
140,Antonio Arroyo,185,1989-07-01,6,3
141,Gilles Arsene,190,,5,9
142,Veta Arteaga,125,,5,7
143,Teddy Ash,185,1989-12-27,6,1
144,Cesar Arzamendia,155,1991-01-31,5,11
145,Askar Askar,145,1994-08-19,5,7
146,Arman Ashimov,125,1992-01-14,5,6
147,Askar Askarov,125,1992-10-09,5,6
148,Cyril Asker,247,1985-12-24,6,0
149,Scott Askham,185,1988-05-20,6,3
150,Ben Askren,170,1984-07-18,5,11
151,Ibo Aslan,205,1996-04-23,6,3
152,Tom Aspinall,256,1993-04-11,6,5
153,Bruno Assis,185,1992-05-23,6,2
154,Junior Assuncao,145,1981-06-24,5,9
155,Raphael Assuncao,135,1982-07-19,5,5
156,Bazigit Atajev,230,,6,1
157,Rich Attonito,170,1977-06-16,5,10
158,Pat Audinwood,155,1986-04-16,6,0
159,Olivier Aubin-Mercier,155,1989-02-23,5,9
160,Jose Augusto,251,1992-03-28,6,3
161,Marcus Aurelio,155,1973-08-18,5,10
162,David Avellan,185,,5,9
163,Levi Avera,170,1982-05-17,6,1
164,Blas Avena,170,1983-06-30,6,0
165,Anthony Avila,145,1988-12-29,5,7
166,Julia Avila,135,1988-05-11,5,7
167,Chris Avila,145,1993-01-16,5,10
168,Saad Awad,155,1983-06-07,5,11
169,Abu Azaitar,185,1986-03-10,5,9
170,Javy Ayala,265,1988-08-20,6,1
171,Jessin Ayari,155,1992-05-31,6,0
172,Luiz Azeredo,154,1976-06-10,5,9
173,Ottman Azaitar,155,1990-02-20,5,8
174,Luciano Azevedo,161,1981-06-25,6,3
175,Hunter Azure,145,1992-03-02,5,8
176,Niklas Backstrom,145,1989-08-22,6,1
177,Izabela Badurek,115,1991-07-11,5,5
178,Miguel Baeza,170,1992-08-23,6,2
179,Ali Bagautinov,125,1985-06-10,5,4
180,Seth Baczynski,170,1981-10-26,6,3
181,Ryan Bader,205,1983-06-07,6,2
182,Mehdi Baghdad,155,1985-04-13,6,1
183,Melsik Baghdasaryan,145,1992-01-28,5,9
184,Siyar Bahadurzada,170,1984-04-17,5,11
185,Ignacio Bahamondes,170,1997-08-27,6,3
186,Stephen Banaszak,145,1990-12-07,6,0
187,Jordan Bailey,145,,5,9
188,Bryan Baker,185,1985-10-13,6,3
189,Oluwale Bamgbose,185,1987-08-04,5,11
190,Shamar Bailey,155,1982-09-22,5,9
191,Scott Baker,210,,6,0
192,Marcin Bandel,155,1989-10-10,5,10
193,Humberto Bandenay,145,1994-09-04,5,11
194,Tae Hyun Bang,155,1983-04-15,5,9
195,Maycee Barber,125,1998-05-18,5,5
196,Yohan Banks,,,,
197,Junior Barata,170,1982-01-25,5,10
198,Antonio Banuelos,135,1979-09-23,5,5
199,Bryan Barberena,170,1989-05-03,6,0
200,Renan Barao,145,1987-01-31,5,6
201,Edson Barboza,145,1986-01-21,5,11
202,Nick Barnes,170,,5,11
203,James Barnes,145,,5,8
204,Raoni Barcelos,135,1987-05-01,5,7
205,Luke Barnatt,185,1988-04-13,6,6
206,Chris Barnhizer,,,,
207,David Baron,155,1973-02-15,5,6
208,Phil Baroni,170,1976-04-16,5,9
209,Josh Barnett,250,1977-11-10,6,3
210,Carlos Barreto,230,,6,4
211,Jose Barreto,185,,,
212,Dan Barrera,170,1980-12-23,5,9
213,Peter Barrett,145,1986-08-10,5,10
214,David Barrios,145,,5,6
215,Marc-Andre Barriault,185,1990-02-18,6,1
216,Alexandre Barros,170,1976-11-19,5,9
217,Ricardo Barros,205,1976-03-22,6,1
218,Francimar Barroso,205,1980-02-28,6,1
219,Dean Barry,155,1992-03-07,,
220,Enrique Barzola,145,1989-04-28,5,7
221,Stephen Bass,145,1982-11-14,5,9
222,Pat Barry,235,1979-07-07,5,11
223,Sean Bassett,155,,,
224,Ryan Bastianelli,135,,5,5
225,Shayna Baszler,135,1980-08-08,5,7
226,Batgerel Danaa,135,1989-07-04,5,7
227,Michel Batista,260,1984-04-20,6,3
228,Alan Baudot,243,1988-02-01,6,3
229,Mario Bautista,135,1993-07-01,5,9
230,Chris Beal,125,1985-08-06,5,7
231,Rudy Bears,170,,5,11
232,Salvador Becerra,155,,5,9
233,Ariel Beck,125,1990-09-16,5,6
234,Jeff Bedard,145,1970-02-06,5,6
235,Eric Bedard,239,1984-09-11,6,2
236,Lyle Beerbohm,155,1979-02-05,5,10
237,Chase Beebe,135,1985-03-29,5,7
238,Johnny Bedford,135,1983-01-06,5,10
239,Mirsad Bektic,145,1991-02-16,5,8
240,Diana Belbita,125,1996-06-26,5,7
241,Alan Belcher,185,1984-04-24,6,2
242,Danilo Belluardo,155,1994-07-21,6,0
243,Vitor Belfort,185,1977-04-01,6,0
244,Joey Beltran,185,1981-12-08,6,1
245,Marco Beltran,125,1986-05-18,5,8
246,Mike Bencic,215,,6,0
247,Joseph Benavidez,125,1984-07-31,5,4
248,Karla Benitez,113,,5,3
249,Dave Beneteau,250,,6,2
250,Gabriel Benitez,155,1988-06-15,5,8
251,DeAnna Bennett,125,1984-11-18,5,4
252,Josh Bennett,259,,6,4
253,Charles Bennett,155,1979-11-23,5,8
254,Lance Benoist,170,1988-08-26,5,11
255,Joe Benoit,170,1982-03-12,5,9
256,Pat Benson,155,,5,9
257,Ryan Benoit,125,1989-08-25,5,5
258,Len Bentley,155,1982-11-30,5,9
259,Kenneth Bergh,205,1989-06-26,6,2
260,Steve Berger,170,1973-05-20,5,11
261,Bret Bergmark,170,1973-11-24,5,9
262,Keith Berish,205,1985-11-14,6,0
263,Dennis Bermudez,155,1986-12-13,5,6
264,Dave Berry,,,,
265,Talita Bernardo,135,1987-03-04,5,4
266,Manny Bermudez,145,1994-07-16,5,10
267,Keith Berry,185,1987-10-25,6,1
268,Dieusel Berto,200,,5,9
269,Edson Berto,155,1983-07-05,5,6
270,Allen Berube,155,1974-08-25,5,8
271,Anton Berzin,205,1989-09-29,6,2
272,Khadzhi Bestaev,185,1988-07-16,6,6
273,Matt Bessette,145,1984-12-28,5,10
274,Scott Bessac,245,,6,4
275,Fernando Bettega,170,1980-03-10,,
276,Arjan Bhullar,245,1986-05-13,6,1
277,Bibulatov Magomed,125,1988-08-22,5,5
278,KB Bhullar,185,1991-10-12,6,4
279,David Bielkheden,155,1979-06-06,5,10
280,Jeremiah Billington,205,1977-11-14,5,9
281,Scott Bills,170,,5,10
282,Anthony Birchak,135,1986-05-16,5,8
283,Chris Birchler,205,1987-06-05,6,3
284,Simon Biyong,205,1991-04-05,,
285,Amaury Bitetti,185,,5,9
286,Michael Bisping,185,1979-02-28,6,1
287,Jan Blachowicz,205,1983-02-24,6,2
288,Tom Blackledge,205,,,
289,Jason Black,155,1972-07-15,5,8
290,Brad Blackburn,170,1977-05-25,5,10
291,Jason Blackford,,,,
292,Maximo Blanco,145,1983-10-16,5,8
293,Sherrard Blackledge,155,1993-08-16,5,11
294,David Blanco,145,,5,7
295,Curtis Blaydes,265,1991-02-18,6,4
296,Arlene Blencowe,145,1983-04-11,5,5
297,Byron Bloodworth,135,1983-08-16,5,8
298,Dashawn Boatwright,205,1988-02-29,6,0
299,Dan Bobish,345,1970-01-26,6,2
300,Kyle Bochniak,145,1987-02-05,5,7
301,Mark Bocek,155,1981-10-24,5,8
302,James Bochnovic,205,1989-02-13,6,4
303,Jeremy Boczulak,,,,
304,Galore Bofando,170,1982-05-22,5,11
305,Jay Bogan,145,,,
306,Tim Boetsch,185,1981-01-28,6,0
307,Roman Bogatov,155,1990-12-15,5,8
308,Derek Bohi,260,,6,4
309,Jerry Bohlander,199,1974-02-12,5,11
310,Kotetsu Boku,154,1977-05-27,5,9
311,Kyle Bolt,185,,6,2
312,Denys Bondar,125,1992-06-27,5,6
313,Luc Bondole,205,,6,2
314,Tony Bonello,185,,6,2
315,Jesse Bongfeldt,185,1980-08-28,6,0
316,Marcos Bonilla,145,,5,10
317,Rogerio Bontorin,125,1992-04-25,5,5
318,Stephan Bonnar,205,1977-04-04,6,4
319,Ray Borg,135,1993-08-04,5,4
320,Igor Borisov,235,,6,0
321,Tanner Boser,255,1991-08-02,6,2
322,Calen Born,170,1988-05-24,5,8
323,Steve Bosse,205,1981-07-29,5,11
324,Marcus Bossett,215,,6,1
325,Chris Bostick,,,,
326,Poliana Botelho,115,1988-12-15,5,8
327,Francois Botha,260,1968-09-28,6,2
328,Rich Bouphanouvong,170,,5,7
329,Gregory Bouchelaghem,183,,6,2
330,Roy Boughton,205,,6,0
331,Mike Bourke,275,,6,0
332,Jess Bouscal,155,,,
333,Tai Bowden,230,,5,11
334,Melton Bowen,225,1969-07-16,6,0
335,Kyron Bowen,185,1993-12-22,6,3
336,Blake Bowman,170,,6,2
337,Brian Bowles,135,1980-06-22,5,7
338,Roger Bowling,155,1982-12-05,5,9
339,Ashe Bowman,155,1976-11-17,5,9
340,Colley  Bradford,145,,5,7
341,Kyle Bradley,155,1982-08-19,5,9
342,Paul Bradley,170,1983-06-13,5,9
343,Sean Brady,170,1992-11-23,5,10
344,Ebenezer Fontes Braga,199,1969-04-14,6,0
345,Joe Brammer,155,1983-08-23,5,8
346,Ramiz Brahimaj,170,1992-11-17,5,10
347,David Branch,185,1981-09-26,6,1
348,Michael Bravo,155,,,
349,Martin Bravo,145,1993-09-21,5,8
350,Diego Brandao,145,1987-05-27,5,7
351,Tom Breese,185,1991-09-26,6,3
352,Mike Breeden,155,1989-04-21,5,10
353,Chris Brennan,170,1971-10-12,5,8
354,Charlie Brenneman,155,1981-02-09,5,10
355,Robert Breslin,155,,5,11
356,Marcos Brigagao,205,1996-04-01,6,3
357,Mack Brewer,205,,,
358,Jason Brilz,205,1975-07-07,5,11
359,Marcus Brimage,135,1985-04-06,5,4
360,Aaron Brink,205,1974-11-12,6,3
361,Marcelo Brito,170,1977-11-27,6,1
362,Henry Briones,135,1980-10-22,5,8
363,Drew Brokenshire,,,,
364,Antwain Britt,205,1978-05-09,6,1
365,Mike Bronzoulis,155,1979-01-05,6,0
366,Jonathan Brookins,145,1985-08-13,6,0
367,Will Brooks,155,1986-10-08,5,10
368,Jarred Brooks,125,1993-05-02,5,3
369,Rob Broughton,265,1983-03-03,6,2
370,Terrell Brown,185,1983-04-13,,
371,Dominic Brown,190,1982-06-04,5,11
372,Mike Brown,145,1975-09-08,5,6
373,Chris Brown,170,,,
374,Todd Brown,205,1976-12-13,5,11
375,Matt Brown,170,1981-01-10,6,0
376,Frederick Brown,235,,6,0
377,TJ Brown,145,1990-05-22,5,9
378,Damien Brown,155,1984-12-25,5,10
379,Randy Brown,170,1990-07-08,6,3
380,Junie Browning,155,1984-05-12,5,9
381,Humberto Brown Morrison,145,1984-11-03,5,10
382,Travis Browne,255,1982-07-17,6,6
383,Jules Bruchez,205,1977-08-16,6,0
384,Lee Brousseau,205,1974-10-04,6,1
385,Justin Bruckmann,170,,5,9
386,Cody Brundage,205,1994-05-16,6,0
387,Steve Bruno,170,1981-11-03,5,10
388,Fernando Bruno,145,1982-02-24,5,6
389,Derek Brunson,185,1984-01-04,6,1
390,Josh Bryant,185,1980-04-23,5,10
391,Justin Buchholz,155,1983-08-22,6,0
392,Dennis Bryant,205,1985-10-18,6,0
393,Zak Bucia,170,,5,10
394,Courtney Buck,135,1982-03-19,5,10
395,Julia Budd,145,1983-07-04,5,7
396,Joaquin Buckley,185,1994-04-27,5,10
397,Mike Budnik,145,1974-08-08,5,9
398,Francisco Bueno,225,,5,9
399,Mayra Bueno Silva,135,1991-08-22,5,6
400,Paul Buentello,245,1974-01-16,6,2
401,Modestas Bukauskas,205,1994-02-10,6,3
402,Lee Kwan Bum,286,,6,2
403,Shawn Bunch,135,1983-03-19,5,5
404,Josh Bumgarner,170,,6,1
405,Wuliji Buren,135,1989-03-01,5,9
406,Shane Burgos,145,1991-03-19,5,11
407,Joshua Burkman,170,1980-04-10,5,10
408,Mads Burnell,145,1994-03-06,5,8
409,Mikey Burnett,170,1974-04-12,5,6
410,Josh Burns,244,1978-05-15,6,1
411,Kevin Burns,170,1980-03-03,5,10
412,Herbert Burns,145,1988-02-02,5,9
413,Gilbert Burns,170,1986-07-20,5,10
414,Derrick Burnsed,155,,,
415,Nah-Shon Burrell,170,1990-02-05,5,11
416,Martin Buschkamp,145,1991-01-06,5,9
417,Bubba Bush,185,1985-07-24,6,0
418,George Bush,205,,6,1
419,Nick Bustamante,170,,5,9
420,Murilo Bustamante,183,1966-07-30,6,2
421,Jason Butcher,185,1984-10-23,6,3
422,Eduardo Bustillos,135,1987-06-02,5,8
423,Todd Butler,200,,6,1
424,Ian Butler,155,,5,8
425,Goldman Butler,,,,
426,Cheyanne Buys,115,1995-06-25,5,3
427,Raphael Butler,261,1984-01-04,6,3
428,JP Buys,125,1996-04-30,5,5
429,Dennis Buzukja,145,1997-10-01,5,9
430,Charles Byrd,185,1983-10-11,5,10
431,Steve Byrnes,170,,6,0
432,Michael Byrnes,155,1990-07-17,5,11
433,Alvin Cacdac,125,,5,6
434,Yan Cabral,155,1983-05-13,5,11
435,Alex Caceres,145,1988-06-20,5,10
436,Vince Cachero,145,1989-11-07,5,6
437,Priscila Cachoeira,135,1988-08-19,5,7
438,Travis Calanoc,145,,5,8
439,Ricky Calatayud,125,1982-10-10,5,9
440,Darrion Caldwell,135,1987-12-19,5,10
441,Joanne Calderwood,125,1985-12-23,5,6
442,Taylor Callens,155,1991-05-21,5,10
443,Joe Camacho,155,1972-03-10,5,9
444,Cynthia Calvillo,125,1987-07-13,5,4
445,Frank Camacho,170,1989-05-18,5,10
446,Fabricio Camoes,155,1978-12-23,5,10
447,Chris Camozzi,185,1986-11-20,6,2
448,Brian Camozzi,170,1991-06-24,6,2
449,Thomas Campbell,,,,
450,Mike Campbell,155,,5,9
451,Shane Campbell,155,1987-01-21,6,0
452,John Campetella,235,,5,9
453,Wagner Campos,145,1981-07-31,5,6
454,Derek Campos,155,1988-04-01,5,9
455,Will Campuzano,125,1986-05-27,5,9
456,Chico Camus,125,1985-01-26,5,6
457,Asbel Cancio,225,,5,10
458,Aleksa Camur,205,1995-09-25,6,1
459,Carlos Candelario,125,1991-06-04,5,8
460,Ronaldo Candido,125,1989-04-24,5,6
461,Guido Cannetti,135,1979-12-19,5,6
462,Luiz Cane,185,1981-04-24,6,2
463,Cody Canterbury,155,,5,8
464,Jose Canseco,240,1964-07-02,6,4
465,Jared Cannonier,185,1984-03-16,5,11
466,Bo Cantrell,235,1969-02-08,6,2
467,Phil Caracappa,135,1992-06-05,5,8
468,Steve Cantwell,185,1986-12-08,6,2
469,Frank Caracci,,,,
470,Gina Carano,145,1982-04-16,5,8
471,Phil Cardella,155,1976-07-09,5,11
472,Dos Caras Jr.,225,1977-05-25,6,4
473,Remo Cardarelli,135,,,
474,Bryan Caraway,135,1984-08-04,5,8
475,Edgar Cardenas,145,,,
476,Chris Cariaso,125,1981-05-27,5,3
477,Ronald Carillo,125,,,
478,Rafael Carino,245,,6,8
479,Don Carlo-Clauss,170,,,
480,Antonio Carlos Junior,185,1990-03-16,6,2
481,Spike Carlyle,145,1993-05-06,5,8
482,Francis Carmont,205,1981-10-11,6,3
483,Liz Carmouche,125,1984-02-19,5,6
484,Ariane Carnelossi,115,1992-11-17,5,2
485,Roan Carneiro,170,1978-06-02,5,11
486,Luana Carolina,125,1993-06-11,5,6
487,Tim Caron,185,1987-07-24,6,1
488,Cody Carrillo,155,,5,10
489,Gabriel Carrasco,135,,5,6
490,Cain Carrizosa,155,1986-07-22,5,8
491,Roger Carroll,170,,5,10
492,Jonny Carson,155,,5,10
493,Scott Carson,215,,6,2
494,Shonie Carter,170,1972-05-03,5,10
495,Bruno Carvalho,154,1982-06-07,5,8
496,Antonio Carvalho,145,1979-05-30,5,9
497,Rafael Carvalho,185,1986-07-27,6,3
498,Shane Carwin,265,1975-01-04,6,2
499,Johnny Case,155,1989-06-28,5,10
500,Kevin Casey,185,1981-06-15,5,11
501,Cortney Casey,125,1987-05-05,5,7
502,Bendy Casimir,145,1980-06-10,5,5
503,Brandon Cash,255,,6,5
504,Dwayne Cason,212,,5,10
505,Joe Cason,205,1988-01-19,6,3
506,John Castaneda,135,1991-12-18,5,6
507,Eric Castile,145,,5,8
508,Gil Castillo,170,1965-10-21,5,9
509,Raul Castillo,185,,5,11
510,Jenna Castillo,125,1982-05-05,5,2
511,Tim Catalfo,235,,5,11
512,Danny Castillo,155,1979-08-25,5,9
513,Nick Catone,185,1981-09-01,6,0
514,Luke Caudillo,155,1980-11-30,5,7
515,Gesias Cavalcante,155,1983-07-06,5,8
516,Rafael Cavalcante,205,1980-04-14,6,1
517,Adam Cella,170,1985-06-26,6,2
518,Henry Cejudo,135,1987-02-09,5,4
519,Yosdenis Cedeno,155,1985-02-12,5,8
520,Magnus Cedenblad,185,1982-04-10,6,5
521,Jared Chaffee,155,1984-12-15,5,10
522,Luan Chagas,170,1993-06-17,6,0
523,Donald Cerrone,155,1983-03-29,6,1
524,Ansar Chalangov,170,1979-10-30,5,9
525,Donnie Chappell,178,,5,11
526,Alex Chambers,115,1978-10-25,5,3
527,Joe Charles,260,,6,1
528,Michael Chandler,155,1986-04-24,5,8
529,Dan Charles,228,1985-09-24,6,2
530,Emilio Chavez,145,,5,9
531,Ernest Chavez,145,1983-06-27,5,8
532,Danny Chavez,145,1987-03-14,5,8
533,Gabriel Checco,185,1986-04-03,6,1
534,Fabio Cherant,205,1994-11-25,6,1
535,Ion Cherdivara,205,,,
536,Albert Cheng,170,1985-02-07,5,11
537,Mark Cherico,145,1986-05-12,5,7
538,Macy Chiasson,135,1991-07-27,5,11
539,Giga Chikadze,145,1988-08-25,6,0
540,Michael Chiesa,170,1987-12-07,6,1
541,Khamzat Chimaev,170,1994-05-01,6,2
542,Mu Bae Choi,230,1970-06-27,6,2
543,Dooho Choi,145,1991-04-10,5,10
544,Hong Man Choi,330,1980-10-30,7,2
545,Sako Chivitchian,155,1984-03-11,5,11
546,SeungWoo Choi,145,1992-11-03,6,0
547,John Cholish,155,1983-12-17,5,11
548,Joachim Christensen,205,1978-11-07,6,3
549,Will Chope,145,1990-09-08,6,4
550,Anthony Christodoulou,155,1987-07-30,5,9
551,Ryo Chonan,170,1976-10-08,5,9
552,Dan Christison,265,1972-04-26,6,8
553,Katlyn Chookagian,125,1988-12-28,5,9
554,Murad Chunkaiev,185,,5,11
555,Mike Ciesnolevicz,235,1979-10-28,6,0
556,Steven Ciaccio,170,,6,0
557,Nikolajus Cilkinas,,,,
558,Cameron Church,155,1990-09-27,5,11
559,Branko Cikatic,215,1954-10-03,6,1
560,Hannah Cifers,115,1992-06-26,5,1
561,Misha Cirkunov,205,1987-02-27,6,3
562,Johnny Cisneros,170,1980-02-05,5,11
563,Dominic Clark,155,1985-08-01,5,10
564,Logan Clark,185,1985-02-16,6,2
565,Mychal Clark,224,,6,3
566,Laverne Clark,170,1973-12-02,5,11
567,Devin Clark,205,1990-04-12,6,0
568,Jessica-Rose Clark,125,1987-11-28,5,5
569,Heather Clark,115,1980-09-19,5,6
570,John Clarke,170,1977-08-15,,
571,Rich Clementi,155,1976-03-31,5,9
572,Chris Clements,170,1976-02-09,5,10
573,Mitch Clarke,155,1985-11-24,5,10
574,RJ Clifford,160,,,
575,Brian Cobb,155,,5,11
576,Josh Clopton,145,1981-07-11,5,6
577,Darryl Cobb,185,1980-08-04,5,9
578,Dave Cochran,155,1973-05-10,5,6
579,Dakota Cochrane,155,1986-05-01,5,8
580,Marc Cofer,185,1972-03-03,,
581,Marloes Coenen,145,1981-03-31,5,9
582,John Cofer,155,1984-04-29,5,9
583,Felipe Colares,135,1994-03-31,5,8
584,Chris Coggins,,,,
585,Wayne Cole,205,,6,1
586,Devin Cole,240,1976-10-01,6,4
587,Ivan Cole,135,1990-11-30,5,9
588,Coltin Cole,185,1989-04-24,,
589,Cortez Coleman,185,1982-01-28,6,1
590,Mark Coleman,205,1964-12-20,6,1
591,Clay Collard,145,1993-03-10,5,11
592,Jamie Colleen,115,1985-11-02,5,3
593,Jake Collier,230,1988-10-25,6,3
594,Christian Colombo,265,1980-07-01,6,5
595,Wes Combs,205,1973-06-18,6,2
596,Carlos Condit,170,1984-04-26,6,2
597,Montserrat Conejo,115,1993-02-03,5,0
598,Chris Condo,335,,6,0
599,Tristan Connelly,170,1985-12-12,5,10
600,Jeremiah Constant,240,1974-07-19,6,1
601,Marcos Conrado Jr.,220,1982-03-14,6,2
602,Jonathan Contrestano,155,,,
603,TJ Cook,205,1982-09-08,,
604,Mike Cook,205,,6,1
605,Dewey Cooper,205,,,
606,Bob Cook,170,,5,9
607,Brett Cooper,170,1987-07-02,6,0
608,Chad Cook,205,1979-11-07,6,2
609,Bill Cooper,155,1984-05-05,,
610,Bobby Cooper,155,,6,1
611,Michael Cora,170,1989-08-24,6,1
612,Amanda Cooper,115,1991-10-22,5,3
613,Kit Cope,170,1977-03-17,6,0
614,Josh Copeland,265,1982-10-20,6,1
615,Akira Corassani,145,1982-08-27,5,8
616,Chris Cope,170,1983-03-05,6,0
617,Muhsin Corbbrey,155,1978-05-18,5,10
618,Daniel Cormier,235,1979-03-20,5,11
619,Clint Coronel,155,,,
620,Wesley Correira,260,1978-11-11,6,3
621,Henry Corrales,145,,5,9
622,Bethe Correia,135,1983-06-22,5,5
623,Chad Corvin,255,,6,5
624,Louis Cosce,170,1995-08-27,5,9
625,Tracy Cortez,135,1993-12-10,5,5
626,Orion Cosce,170,1994-07-15,5,11
