location_id	city	region/district	country
157	Cedar Rapids	 Iowa	 USA
158	Miami	 Florida	 USA
159	Fayetteville	 North Carolina	 USA
160	Tokyo		 Japan
161	Augusta	 Georgia	 USA
162	Yokohama	 Kanagawa	 Japan
163	Casper	 Wyoming	 USA
164	Dothan	 Alabama	 USA
165	San Juan		 Puerto Rico
166	Chiba		 Japan
